movieId,title,all_tags
1,Toy Story (1995),"pixar, innovative, fun, animated, cgi, cartoon, dvd-video, family, disney, usa, dolls, friendship, comedy, humorous, animation, want, fantasy, witty, children, warm, bd-video, clv, buy, woody, light, engaging, adventure, funny, rated-g, cute, classic, rousing, toys, avi, soothing, clever, fanciful, watched, toy, bright, story"
2,Jumanji (1995),"jungle, children, lebbat, childish, clv, game, time, monkey, fantasy, animals, adventure, scary"
3,Grumpier Old Men (1995),"romance, comedy, moldy, clv, sequels, sequel, old"
4,Waiting to Exhale (1995),"romance, characters, women, comedy, revenge, clv, drama"
5,Father of the Bride Part II (1995),"pregnancy, remake, comedy, clv, fantasy, touching, sequels, sequel, family, wedding"
6,Heat (1995),"thieves, somber, cliched, clearplay, lame, soundtrack, police, r, action, long, heist, want, tense, vontatott, atmospheric, professionals, realistic, hollywoodization, adultery, violent, gunfight, visceral, suicide, individualism, clv, dialogue, thriller, suspense, philosophy, loner, slick, overrated, relationships, bibliothek, authenticity, bleak, owned, btaege, witty, guns, crime"
7,Sabrina (1995),"romance, remake, upstairs-downstairs, relationships, comedy, clv, romantic, drama, paris"
8,Tom and Huck (1995),"children, adventure, seen"
9,Sudden Death (1995),"action, clv"
10,GoldenEye (1995),"dark, action, spies, sequel, murder, mtskaf, bond, violence, franchise, one-liners, bd-video, clv, thriller, adventure, caribbean, sexuality, assassin, espionage, gadgets, owned, funny, btaege"
11,"American President, The (1995)","romance, ethics, bibliothek, comedy, clv, drama, president, seen, politics, political, morals, cute"
12,Dracula: Dead and Loving It (1995),"horror, spoof, comedy, bd-r, vampire, gothic, parody"
13,Balto (1995),"children, dogsled, animation, animated, adventure, wolves"
14,Nixon (1995),"biographical, clv, drama, president, own, corruption, biopic, politics"
15,Cutthroat Island (1995),"treasure, action, romance, sexuality, clv, pirates, pirate, swashbuckler, adventure, humor"
16,Casino (1995),"indulgent, complex, pesci, soundtrack, deniro, etaege, masterpiece, slow, watch, drama, mob, mafia, corruption, casino, gamble, vegas, violent, scorcese, violence, gangsters, clv, non-fiction, cannibalism, gangster, nudity, narrated, bibliothek, stylish, crime"
17,Sense and Sensibility (1995),"romance, heartwarming, boring, hulu, classic, bibliothek, clv, romantic, drama, british, historical, literature, fast, period, english, shakespeare"
18,Four Rooms (1995),"storytelling, witch, comedy, hotel, witches, tarantino, own, madonna, rodriguez"
19,Ace Ventura: When Nature Calls (1995),"comedy, spit, gross-out, goofy, detective, hehehe, africa, sequel, hilarious, crazy"
20,Money Train (1995),"action, comedy, clv, drama, thriller, lame, worthwhile, crime"
21,Get Shorty (1995),"usa, forgetable, gangsters, comedy, silly, watch, clv, thriller, satire, mob, mafia, funny, foqam, crime, contrived, hollywood, travolta"
22,Copycat (1995),"horror, claustrophobic, drama, thriller, suspenseful, suspense, agoraphobia, detective, mystery, seen, trauma, crime"
23,Assassins (1995),"assassins, action, assassin, clv, thriller, crime"
24,Powder (1995),"poignant, humanity, inane, elegiac, reflective, drama, earnest, pretentious, emotional, controversial, tearjerking, albino, touching, sci-fi"
25,Leaving Las Vegas (1995),"romance, melancholic, alcoholism, dark, addiction, dvd-video, prostitution, drunkenness, understated, drama, atmospheric, nihilism, drinking, suicide, library, annemari, poignant, loneliness, overrated, existential, elegiac, depressing, favorites, bibliothek, prostitutes, overacting, owned, love, intimate, melancholy, haunting"
26,Othello (1995),"clv, drama, betrayal, shakespearean, shakespeare"
27,Now and Then (1995),"children, women, friendship, songs, drama, soundtrack, sisterhood"
28,Persuasion (1995),"england, acting, romance, adaptation, boring, slow, clv, drama, reviewed, bland, etaege"
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)","dark, jeunet, stylized, mystery, hallucinatory, dreamlike, sci-fi, drama, whimsical, fantasy, atmospheric, beautiful, dystopia, children, visual, surreal, adventure, kidnapping, strange, steampunk, christmas, mechanized, bleak, fanciful, weird, btaege, skinut, deer"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"drama, crime, cinematography, visual"
31,Dangerous Minds (1995),"highschool, gangsters, teacher, bibliothek, inspirational, drama, own, education"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"original, dark, ending, epidemic, design, mindfuck, clearplay, mystery, dvd-video, future, r, biology, deterministic, excellent, sci-fi, dystopian, drama, british, genetics, atmospheric, gilliam, jeffrey, dvd, monty-python-related, dystopia, remake, violence, imagination, special, thriller, stupid, scenario, complicated, adventure, brilliant, rated-r, inmate, sf, overrated, interesting, classic, depressing, music, psychology, asylum, agonizing, post-apocalyptic, genius, owned, story, get"
33,Wings of Courage (1995),"romance, original, adventure, imax"
34,Babe (1995),"sheep, original, animals, pig, favorite, boring, meaty, drama, rats, reviewed, fantasy, farm, infantil, children, clv, environmental, biography, farming, adventure, animal, cute, food, overrated, pigs, own, funny, witty"
35,Carrington (1995),"england, romance, sad, homosexuality, relationships, intense, drama, biopics, artist, polyamory, love, intimate, painter, bisexual, artists"
36,Dead Man Walking (1995),"prison, religion, deaf, knoll, dialogues, institutions, strong, usa, sad, ethics, watch, drama, abe, christianity, uk, murder, death, clv, pompadour, buy, catholicism, ari, nun, rated-r, bible, courtroom, law, book, crime, rape, annemari"
37,Across the Sea of Time (1995),"documentary, storytelling, imax, bd-r, technology"
38,It Takes Two (1995),"twins, comedy, children, cute"
39,Clueless (1995),"romance, silly, fun, radiohead, teen, adaptation, comedy, reviewed, emma, parody, fashion, quotable, highschool, sunny, classic, frivolous, quick, funny, teenager"
40,"Cry, the Beloved Country (1995)","hulu, drama, disk, racism, africa"
41,Richard III (1995),"clv, drama, war, reviewed, dvd-ram, shakespeare"
42,Dead Presidents (1995),"action, violence, heist, clv, drama, crime"
43,Restoration (1995),"historical, clv, england, drama"
44,Mortal Kombat (1995),"ninja, action, bd-video, clv, fatality, fantasy, stylized, videogame, adventure, fighting"
45,To Die For (1995),"bibliothek, comedy, clv, drama, journalism, thriller, clearplay, r, library, obsession"
46,How to Make an American Quilt (1995),"romance, women, bibliothek, clv, drama, love, wedding"
47,Seven (a.k.a. Se7en) (1995),"credits, creepy, lust, investigation, dark, detectives, ending, greed, religion, ominous, disgusting, suspenseful, clearplay, mystery, dvd-video, week, police, r, pathology, creative, usa, characters, pride, drama, disturbing, want, biblical, atmospheric, predictable, divx, sloth, sins, confusing, violent, gluttony, christianity, murder, violence, spannend, wrath, noir, gore, captivating, bd-video, philosophical, thriller, gory, twist, evil, detective, vhs, rated-r, books, seven, menacing, scope, strange, gruesome, cynical, overrated, horror, gloomy, psychological, shocking, sin, numbers, policial, grim, psychology, envy, theater, bradpitt, owned, scary, crime"
48,Pocahontas (1995),"romance, musical, children, disney, katottava, drama, animation, stereotypes, dialogue, soundtrack, cartoon, story, get"
49,When Night Is Falling (1995),"romance, drama, religion, circus, own, lesbian, love, gay"
50,"Usual Suspects, The (1995)","puzzle-like, complex, dark, btaege, mindfuck, clearplay, mystery, r, action, boring, tricky, storytelling, slow, characters, heist, conspiracy, awesome, genre-defining, mentiras, want, rewatchable, predictable, anti-hero, dvd, unexpected, acting, violence, complot, bd-video, clv, thriller, suspense, complicated, twist, rated-r, library, flashbacks, overrated, sensational, atmosphere, classic, spaceyal, robo, whodunnit, own, clever, surprise, caper, funny, watch-again, owned, crime"
51,Guardian Angel (1994),"action, drama, thriller"
52,Mighty Aphrodite (1995),"romance, comedy, clv, drama, adoption, prostitution"
53,Lamerica (1994),"immigrants, poverty, drama, adventure, criterion"
54,"Big Green, The (1995)","children, kids, soccer, comedy, football, sports"
55,Georgia (1995),"musicians, sisters, drama"
56,Kids of the Round Table (1995),"children, kids, original, fantasy, adventure"
57,Home for the Holidays (1995),"lovable, boring, drama"
58,"Postman, The (Postino, Il) (1994)","romance, boring, sicily, melancholic, comedy, poetry, drama, writers, writing, poets"
59,"Confessional, The (Confessionnal, Le) (1995)","enigmatic, drama, hitchcock, mystery, criterion"
60,"Indian in the Cupboard, The (1995)","children, magic, indians, fantasy, adventure"
61,Eye for an Eye (1996),"revenge, clv, drama, thriller, vigilante, vigilantism"
