movie_id,title,all_tags
1,Toy Story (1995),"engaging, cgi, classic, cartoon, warm, usa, light, toy, family, witty, rousing, dvd-video, adventure, animation, soothing, story, humorous, buy, children, clever, avi, clv, fanciful, pixar, want, watched, fantasy, funny, innovative, fun, comedy, disney, woody, bright, toys, rated-g, cute, bd-video, friendship, dolls, animated"
2,Jumanji (1995),"childish, children, scary, time, animals, clv, adventure, jungle, game, monkey, fantasy, lebbat"
3,Grumpier Old Men (1995),"comedy, sequels, old, clv, romance, moldy, sequel"
4,Waiting to Exhale (1995),"women, comedy, drama, clv, romance, characters, revenge"
5,Father of the Bride Part II (1995),"touching, comedy, family, sequels, clv, wedding, pregnancy, remake, fantasy, sequel"
6,Heat (1995),"atmospheric, heist, suicide, philosophy, violent, adultery, bibliothek, soundtrack, crime, police, individualism, authenticity, witty, clearplay, cliched, overrated, guns, slick, gunfight, suspense, dialogue, tense, visceral, owned, bleak, professionals, r, somber, realistic, btaege, clv, thriller, want, long, vontatott, lame, thieves, loner, hollywoodization, action, relationships"
7,Sabrina (1995),"comedy, drama, paris, clv, romance, upstairs-downstairs, remake, romantic, relationships"
8,Tom and Huck (1995),"adventure, children, seen"
9,Sudden Death (1995),"action, clv"
10,GoldenEye (1995),"murder, mtskaf, franchise, dark, gadgets, bond, adventure, one-liners, owned, btaege, clv, sexuality, thriller, funny, espionage, caribbean, violence, spies, bd-video, action, assassin, sequel"
11,"American President, The (1995)","comedy, drama, political, morals, politics, president, clv, romance, cute, ethics, seen, bibliothek"
12,Dracula: Dead and Loving It (1995),"vampire, comedy, spoof, gothic, horror, bd-r, parody"
13,Balto (1995),"children, dogsled, adventure, animation, animated, wolves"
14,Nixon (1995),"drama, politics, president, clv, own, corruption, biopic, biographical"
15,Cutthroat Island (1995),"pirates, humor, pirate, clv, adventure, romance, sexuality, treasure, action, swashbuckler"
16,Casino (1995),"casino, mafia, complex, stylish, violent, bibliothek, deniro, non-fiction, soundtrack, crime, drama, etaege, mob, narrated, watch, corruption, pesci, slow, nudity, clv, scorcese, gangsters, masterpiece, gangster, gamble, cannibalism, indulgent, violence, vegas"
17,Sense and Sensibility (1995),"british, historical, heartwarming, drama, fast, english, classic, literature, clv, romance, boring, shakespeare, romantic, hulu, period, bibliothek"
18,Four Rooms (1995),"hotel, comedy, witches, tarantino, witch, rodriguez, own, storytelling, madonna"
19,Ace Ventura: When Nature Calls (1995),"crazy, comedy, spit, goofy, hehehe, hilarious, africa, gross-out, detective, sequel"
20,Money Train (1995),"comedy, crime, drama, worthwhile, lame, clv, thriller, action"
21,Get Shorty (1995),"comedy, crime, contrived, foqam, satire, mob, hollywood, mafia, watch, clv, thriller, silly, forgetable, travolta, gangsters, funny, usa"
22,Copycat (1995),"suspenseful, mystery, agoraphobia, crime, drama, claustrophobic, horror, trauma, thriller, seen, suspense, detective"
23,Assassins (1995),"crime, assassins, clv, thriller, action, assassin"
24,Powder (1995),"touching, drama, poignant, reflective, humanity, albino, inane, controversial, elegiac, tearjerking, sci-fi, emotional, earnest, pretentious"
25,Leaving Las Vegas (1995),"drinking, atmospheric, suicide, prostitutes, overacting, elegiac, dark, bibliothek, drama, haunting, dvd-video, drunkenness, overrated, prostitution, addiction, existential, melancholy, alcoholism, owned, nihilism, understated, intimate, melancholic, poignant, love, annemari, favorites, loneliness, romance, depressing, library"
26,Othello (1995),"drama, betrayal, shakespearean, clv, shakespeare"
27,Now and Then (1995),"women, children, soundtrack, drama, friendship, sisterhood, songs"
28,Persuasion (1995),"acting, etaege, drama, slow, reviewed, clv, romance, boring, bland, adaptation, england"
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)","atmospheric, jeunet, beautiful, dark, drama, strange, dystopia, stylized, adventure, surreal, kidnapping, skinut, mystery, children, deer, bleak, visual, btaege, fanciful, fantasy, steampunk, dreamlike, christmas, hallucinatory, mechanized, weird, sci-fi, whimsical"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"cinematography, crime, drama, visual"
31,Dangerous Minds (1995),"education, drama, own, teacher, gangsters, highschool, inspirational, bibliothek"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"british, gilliam, rated-r, atmospheric, genetics, classic, jeffrey, design, inmate, monty-python-related, sf, ending, dark, future, drama, clearplay, dystopia, dvd-video, adventure, complicated, post-apocalyptic, brilliant, remake, overrated, dvd, mindfuck, interesting, psychology, story, mystery, stupid, owned, genius, asylum, scenario, r, biology, thriller, original, excellent, imagination, special, deterministic, dystopian, agonizing, music, violence, epidemic, get, depressing, sci-fi"
33,Wings of Courage (1995),"adventure, romance, original, imax"
34,Babe (1995),"meaty, sheep, pig, infantil, drama, food, farming, witty, animals, farm, reviewed, adventure, own, overrated, animal, children, rats, clv, boring, original, favorite, pigs, fantasy, environmental, biography, cute, funny"
35,Carrington (1995),"polyamory, drama, bisexual, homosexuality, sad, intense, artist, artists, painter, romance, biopics, intimate, love, relationships, england"
36,Dead Man Walking (1995),"murder, ari, sad, prison, pompadour, rated-r, ethics, christianity, usa, abe, crime, drama, catholicism, watch, institutions, buy, dialogues, nun, law, knoll, courtroom, clv, strong, bible, book, deaf, rape, annemari, uk, death, religion"
37,Across the Sea of Time (1995),"documentary, bd-r, imax, storytelling, technology"
38,It Takes Two (1995),"comedy, cute, children, twins"
39,Clueless (1995),"frivolous, radiohead, classic, fashion, sunny, reviewed, teenager, adaptation, quotable, parody, fun, teen, comedy, romance, silly, quick, highschool, funny, emma"
40,"Cry, the Beloved Country (1995)","drama, disk, racism, hulu, africa"
41,Richard III (1995),"drama, reviewed, clv, dvd-ram, shakespeare, war"
42,Dead Presidents (1995),"crime, drama, violence, heist, clv, action"
43,Restoration (1995),"historical, drama, england, clv"
44,Mortal Kombat (1995),"fatality, ninja, videogame, stylized, adventure, clv, bd-video, fighting, action, fantasy"
45,To Die For (1995),"journalism, comedy, drama, clearplay, obsession, r, clv, thriller, library, bibliothek"
46,How to Make an American Quilt (1995),"women, drama, clv, romance, wedding, love, bibliothek"
47,Seven (a.k.a. Se7en) (1995),"captivating, murder, disgusting, scope, rated-r, atmospheric, confusing, grim, characters, gory, gruesome, seven, ending, philosophical, violent, bradpitt, dark, christianity, usa, gluttony, sloth, crime, drama, police, gloomy, greed, creepy, strange, scary, pride, investigation, clearplay, dvd-video, noir, overrated, credits, creative, cynical, psychological, spannend, numbers, psychology, mystery, owned, evil, biblical, r, menacing, vhs, thriller, week, wrath, pathology, predictable, want, sins, books, detective, divx, suspenseful, horror, detectives, theater, gore, twist, policial, violence, lust, ominous, shocking, bd-video, sin, envy, disturbing, religion"
48,Pocahontas (1995),"children, soundtrack, drama, disney, romance, cartoon, animation, katottava, get, dialogue, musical, stereotypes, story"
49,When Night Is Falling (1995),"drama, own, romance, lesbian, circus, love, gay, religion"
50,"Usual Suspects, The (1995)","whodunnit, robo, flashbacks, rewatchable, puzzle-like, rated-r, heist, classic, atmosphere, unexpected, characters, complex, dark, tricky, caper, acting, crime, clearplay, own, complicated, storytelling, overrated, dvd, genre-defining, mindfuck, suspense, mentiras, mystery, owned, sensational, slow, clever, library, spaceyal, r, btaege, clv, boring, thriller, want, predictable, conspiracy, watch-again, anti-hero, surprise, twist, violence, complot, bd-video, awesome, action, funny"
51,Guardian Angel (1994),"action, thriller, drama"
52,Mighty Aphrodite (1995),"comedy, drama, clv, romance, adoption, prostitution"
53,Lamerica (1994),"drama, poverty, adventure, criterion, immigrants"
54,"Big Green, The (1995)","kids, comedy, children, sports, soccer, football"
55,Georgia (1995),"sisters, drama, musicians"
56,Kids of the Round Table (1995),"kids, children, adventure, original, fantasy"
57,Home for the Holidays (1995),"boring, drama, lovable"
58,"Postman, The (Postino, Il) (1994)","comedy, poetry, drama, poets, writing, writers, romance, boring, melancholic, sicily"
59,"Confessional, The (Confessionnal, Le) (1995)","mystery, drama, enigmatic, hitchcock, criterion"
60,"Indian in the Cupboard, The (1995)","magic, children, adventure, indians, fantasy"
61,Eye for an Eye (1996),"drama, vigilantism, vigilante, clv, thriller, revenge"
62,Mr. Holland's Opus (1995),"music, stupid, education, drama, sappy, cheesy, composer, tearful, clv, teacher, feel-good, inspirational, bands, moving, emotion, mentor"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"comedy, crime, spoof, goofy, parody"
64,Two if by Sea (1996),"romance, comedy, sarcasm"
65,Bio-Dome (1996),"stupid, comedy, goofy, stupidity"
